Summary,Issue Type,Epic Name,Epic Link,Description,Story Points,Priority,Labels,Sprint
Gestión del catálogo,Epic,EP-01 Gestión del catálogo,,Alta consulta búsqueda y mantenimiento de los títulos y ejemplares de la biblioteca.,,High,catalogo,
Gestión de socios,Epic,EP-02 Gestión de socios,,Registro y consulta de las personas autorizadas a tomar libros prestados.,,Medium,socios,
Circuito de préstamos,Epic,EP-03 Circuito de préstamos,,Entrega devolución control de plazos y cálculo de mora. Es el núcleo del negocio.,,Highest,prestamos,
Reportes y seguridad,Epic,EP-04 Reportes y seguridad,,Indicadores de gestión y control de acceso al sistema.,,Medium,reportes,
HU-01 Consultar el catálogo de libros,Story,,EP-01 Gestión del catálogo,"Como bibliotecario quiero ver el listado completo de libros con sus ejemplares disponibles para saber qué puedo prestar. CRITERIOS DE ACEPTACIÓN: 1) La tabla muestra ISBN título autor categoría ejemplares y disponibles. 2) Los disponibles se calculan como ejemplares menos préstamos activos. 3) Si no hay libros se muestra un mensaje y no un error. 4) Un usuario sin sesión es redirigido al login.",3,High,catalogo,Sprint 1
HU-02 Registrar un libro nuevo,Story,,EP-01 Gestión del catálogo,"Como bibliotecario quiero registrar libros nuevos para mantener el catálogo actualizado. CRITERIOS DE ACEPTACIÓN: 1) El formulario pide ISBN título autor categoría año y ejemplares. 2) El ISBN no puede repetirse y se muestra un mensaje claro si ya existe. 3) Los ejemplares deben ser al menos 1. 4) Tras guardar el libro aparece en el listado con un aviso de confirmación.",5,High,catalogo,Sprint 1
HU-03 Buscar libros,Story,,EP-01 Gestión del catálogo,"Como bibliotecario quiero buscar por título autor o ISBN para localizar un libro rápidamente. CRITERIOS DE ACEPTACIÓN: 1) La búsqueda es parcial y no distingue mayúsculas ni acentos. 2) Se puede filtrar además por categoría. 3) Si no hay coincidencias se informa sin error. 4) Un enlace permite limpiar el filtro.",3,Medium,catalogo,Sprint 1
HU-04 Registrar un préstamo,Story,,EP-03 Circuito de préstamos,"Como bibliotecario quiero registrar la entrega de un ejemplar a un socio para llevar el control de lo prestado. CRITERIOS DE ACEPTACIÓN: 1) Se selecciona socio y libro de listas desplegables. 2) La fecha de vencimiento se calcula a 14 días. 3) El sistema rechaza el préstamo si no hay ejemplares si el socio está inactivo si ya alcanzó 3 préstamos o si ya tiene ese mismo libro. 4) Cada rechazo muestra el motivo concreto. 5) Los disponibles del libro bajan en uno.",8,Highest,prestamos,Sprint 2
HU-05 Registrar una devolución,Story,,EP-03 Circuito de préstamos,"Como bibliotecario quiero registrar la devolución de un ejemplar para devolverlo al inventario. CRITERIOS DE ACEPTACIÓN: 1) El botón Devolver solo aparece en préstamos activos. 2) Al devolver se guarda la fecha del día. 3) El ejemplar vuelve a estar disponible. 4) Un préstamo ya devuelto no se puede devolver otra vez.",5,Highest,prestamos,Sprint 2
HU-06 Calcular la mora por retraso,Story,,EP-03 Circuito de préstamos,"Como bibliotecario quiero que el sistema calcule la mora para cobrar lo correcto sin hacer cuentas a mano. CRITERIOS DE ACEPTACIÓN: 1) Devolver el día del vencimiento o antes no genera mora. 2) A partir del día siguiente se cobran RD$25 por día de retraso. 3) La mora se muestra en el detalle del préstamo y en el aviso de confirmación. 4) La mora nunca es negativa.",5,High,prestamos,Sprint 2
HU-07 Consultar préstamos por estado,Story,,EP-03 Circuito de préstamos,"Como bibliotecario quiero filtrar los préstamos por estado para revisar pendientes y vencidos. CRITERIOS DE ACEPTACIÓN: 1) Existen los filtros activos vencidos devueltos y todos. 2) Un préstamo vencido se resalta en rojo. 3) Cada fila muestra socio libro fechas y mora.",3,Medium,prestamos,Sprint 2
HU-08 Ver indicadores en el panel,Story,,EP-04 Reportes y seguridad,"Como responsable de la biblioteca quiero ver indicadores al entrar para conocer el estado general de un vistazo. CRITERIOS DE ACEPTACIÓN: 1) Se muestran títulos ejemplares disponibles préstamos activos vencidos y socios activos. 2) Se listan los cinco libros más prestados. 3) Se listan los préstamos vencidos. 4) Los indicadores cambian al registrar un préstamo o una devolución.",5,Medium,reportes,Sprint 3
HU-09 Registrar y consultar socios,Story,,EP-02 Gestión de socios,"Como bibliotecario quiero administrar los socios para saber a quién puedo prestar. CRITERIOS DE ACEPTACIÓN: 1) El formulario pide matrícula nombre correo y teléfono. 2) La matrícula es única. 3) El correo debe tener formato válido. 4) El listado muestra cuántos préstamos activos tiene cada socio y avisa cuando llega al límite.",5,Medium,socios,Sprint 3
HU-10 Iniciar sesión y control de acceso,Story,,EP-04 Reportes y seguridad,"Como administrador quiero que el sistema pida credenciales para que solo el personal autorizado registre movimientos. CRITERIOS DE ACEPTACIÓN: 1) Sin sesión cualquier ruta redirige al login. 2) Las credenciales incorrectas muestran un mensaje y no revelan si el fallo fue el usuario o la clave. 3) Las contraseñas se guardan cifradas con PBKDF2 nunca en texto plano. 4) El botón Salir cierra la sesión y bloquea el acceso.",3,High,seguridad,Sprint 3
